season,player,team,tenure_years
2020,Basil Thampi,Sunrisers Hyderabad,3
2022,Basil Thampi,Mumbai Indians,1
2010,Bipul Sharma,Punjab Kings,1
2011,Bipul Sharma,Punjab Kings,2
2012,Bipul Sharma,Punjab Kings,3
2013,Bipul Sharma,Punjab Kings,4
2015,Bipul Sharma,Sunrisers Hyderabad,1
2016,Bipul Sharma,Sunrisers Hyderabad,2
2017,Bipul Sharma,Sunrisers Hyderabad,3
2025,C Bosch,Mumbai Indians,1
2010,C Ganapathy,Chennai Super Kings,1
2023,C Green,Mumbai Indians,1
2024,C Green,Royal Challengers Bengaluru,1
2010,C Madan,Mumbai Indians,1
2016,C Munro,Kolkata Knight Riders,1
2018,C Munro,Delhi Capitals,1
2019,C Munro,Delhi Capitals,2
2009,C Nanda,Mumbai Indians,1
2021,C Sakariya,Rajasthan Royals,1
2022,C Sakariya,Delhi Capitals,1
2023,C Sakariya,Delhi Capitals,2
2025,C Sakariya,Kolkata Knight Riders,1
2017,C de Grandhomme,Kolkata Knight Riders,1
2018,C de Grandhomme,Royal Challengers Bengaluru,1
2019,C de Grandhomme,Royal Challengers Bengaluru,2
2011,CA Ingram,Delhi Capitals,1
2019,CA Ingram,Delhi Capitals,1
2012,CA Lynn,Deccan Chargers,1
2014,CA Lynn,Kolkata Knight Riders,1
2016,CA Lynn,Kolkata Knight Riders,1
2017,CA Lynn,Kolkata Knight Riders,2
2018,CA Lynn,Kolkata Knight Riders,3
2019,CA Lynn,Kolkata Knight Riders,4
2021,CA Lynn,Mumbai Indians,1
2010,CA Pujara,Kolkata Knight Riders,1
2011,CA Pujara,Royal Challengers Bengaluru,1
2012,CA Pujara,Royal Challengers Bengaluru,2
2013,CA Pujara,Royal Challengers Bengaluru,3
2014,CA Pujara,Punjab Kings,1
2009,CH Gayle,Kolkata Knight Riders,1
2010,CH Gayle,Kolkata Knight Riders,2
2011,CH Gayle,Royal Challengers Bengaluru,1
2012,CH Gayle,Royal Challengers Bengaluru,2
2013,CH Gayle,Royal Challengers Bengaluru,3
2014,CH Gayle,Royal Challengers Bengaluru,4
2015,CH Gayle,Royal Challengers Bengaluru,5
2016,CH Gayle,Royal Challengers Bengaluru,6
2017,CH Gayle,Royal Challengers Bengaluru,7
2018,CH Gayle,Punjab Kings,1
2019,CH Gayle,Punjab Kings,2
2020,CH Gayle,Punjab Kings,3
2021,CH Gayle,Punjab Kings,4
2013,CH Morris,Chennai Super Kings,1
2015,CH Morris,Rajasthan Royals,1
2016,CH Morris,Delhi Capitals,1
2017,CH Morris,Delhi Capitals,2
2018,CH Morris,Delhi Capitals,3
2019,CH Morris,Delhi Capitals,4
2020,CH Morris,Royal Challengers Bengaluru,1
2021,CH Morris,Rajasthan Royals,1
2014,CJ Anderson,Mumbai Indians,1
2015,CJ Anderson,Mumbai Indians,2
2017,CJ Anderson,Delhi Capitals,1
