season,team,Anchor,Death Specialist,Middle-Over Squeezer,Powerplay Aggressor
2022,Mumbai Indians,14.285714285714286,57.142857142857146,13.636363636363637,14.935064935064934
2022,Punjab Kings,15.894039735099337,37.74834437086093,8.609271523178808,37.74834437086093
2022,Rajasthan Royals,20.652173913043477,51.630434782608695,22.282608695652176,5.434782608695652
2022,Royal Challengers Bengaluru,4.022988505747127,38.50574712643678,36.7816091954023,20.689655172413794
2022,Sunrisers Hyderabad,17.56756756756757,40.54054054054054,29.72972972972973,12.162162162162161
2023,Chennai Super Kings,16.571428571428573,47.42857142857143,26.285714285714285,9.714285714285714
2023,Delhi Capitals,22.699386503067483,34.969325153374236,26.380368098159508,15.950920245398773
2023,Gujarat Titans,30.434782608695652,31.52173913043478,28.804347826086957,9.23913043478261
2023,Kolkata Knight Riders,25.0,35.11904761904762,22.61904761904762,17.261904761904763
2023,Lucknow Super Giants,13.872832369942197,35.83815028901734,28.90173410404624,21.387283236994218
2023,Mumbai Indians,25.543478260869566,39.130434782608695,12.5,22.82608695652174
2023,Punjab Kings,13.414634146341463,53.65853658536585,25.0,7.926829268292683
2023,Rajasthan Royals,9.202453987730062,69.93865030674847,4.9079754601226995,15.950920245398773
2023,Royal Challengers Bengaluru,27.388535031847134,51.59235668789809,16.56050955414013,4.45859872611465
2023,Sunrisers Hyderabad,28.658536585365855,35.97560975609756,18.902439024390244,16.463414634146343
2024,Chennai Super Kings,30.0,11.875,44.375,13.75
2024,Delhi Capitals,16.463414634146343,29.878048780487806,28.048780487804876,25.609756097560975
2024,Gujarat Titans,23.571428571428573,30.0,25.714285714285715,20.714285714285715
2024,Kolkata Knight Riders,19.607843137254903,22.875816993464053,36.60130718954248,20.915032679738562
2024,Lucknow Super Giants,26.380368098159508,19.01840490797546,33.74233128834356,20.858895705521473
2024,Mumbai Indians,20.0,49.696969696969695,13.333333333333334,16.96969696969697
2024,Punjab Kings,10.365853658536585,31.70731707317073,32.31707317073171,25.609756097560975
2024,Rajasthan Royals,24.11764705882353,40.588235294117645,24.705882352941178,10.588235294117647
2024,Royal Challengers Bengaluru,19.428571428571427,36.57142857142857,35.42857142857143,8.571428571428571
2024,Sunrisers Hyderabad,28.804347826086957,13.043478260869565,34.78260869565217,23.369565217391305
2025,Chennai Super Kings,18.78787878787879,31.515151515151516,37.57575757575758,12.121212121212121
2025,Delhi Capitals,19.01840490797546,45.39877300613497,20.858895705521473,14.723926380368098
2025,Gujarat Titans,31.764705882352942,38.8235294117647,25.294117647058822,4.117647058823529
2025,Kolkata Knight Riders,17.985611510791365,68.34532374100719,1.4388489208633093,12.23021582733813
2025,Lucknow Super Giants,31.48148148148148,33.95061728395062,25.925925925925927,8.641975308641975
2025,Mumbai Indians,16.483516483516482,15.934065934065934,36.26373626373626,31.318681318681318
2025,Punjab Kings,23.58974358974359,30.76923076923077,30.256410256410255,15.384615384615385
2025,Rajasthan Royals,5.521472392638037,25.153374233128833,34.355828220858896,34.969325153374236
2025,Royal Challengers Bengaluru,25.294117647058822,38.8235294117647,26.470588235294116,9.411764705882353
2025,Sunrisers Hyderabad,27.21518987341772,33.54430379746835,31.0126582278481,8.227848101265822
